"Industries,
 Prefectures and 21 Major cities",,,,,Number of establishments,,,,Number of persons engaged,Total cash wages and salaries,"Cost of raw materials, fuels and electricity consumed, and subcontracting expenses for consigned production",Value of manufactured goods shipments,Value of production,Value added
27,業務用機械器具製造業,19,山梨県,2019,15,9,2,4,"4,295","21,309","43,707","102,222","100,135","54,799"
27,業務用機械器具製造業,20,長野県,2019,76,56,14,6,"10,013","49,949","248,880","377,117","210,358","118,434"
27,業務用機械器具製造業,21,岐阜県,2019,14,6,6,2,"1,981","9,263","22,987","51,711","49,688","25,642"
27,業務用機械器具製造業,22,静岡県,2019,47,24,19,4,"10,312","50,311","150,643","242,024","234,903","80,777"
27,業務用機械器具製造業,23,愛知県,2019,79,52,21,6,"11,396","64,765","400,296","684,003","667,189","252,229"
27,業務用機械器具製造業,24,三重県,2019,20,12,5,3,"4,320","20,630","117,488","178,650","179,519","57,208"
27,業務用機械器具製造業,25,滋賀県,2019,23,11,9,3,"3,927","20,033","95,782","177,476","166,901","71,357"
27,業務用機械器具製造業,26,京都府,2019,41,30,6,5,"7,859","47,282","144,478","284,713","252,111","130,631"
27,業務用機械器具製造業,27,大阪府,2019,54,37,15,2,"5,345","27,164","78,041","146,554","131,808","61,296"
27,業務用機械器具製造業,28,兵庫県,2019,43,26,13,4,"6,578","35,336","116,716","267,640","213,443","138,795"
27,業務用機械器具製造業,29,奈良県,2019,9,6,2,1,"2,772","17,586","87,559","140,288","137,353","48,883"
27,業務用機械器具製造業,30,和歌山県,2019,7,4,3,***,769,"3,280","7,528","13,903","10,829","5,325"
27,業務用機械器具製造業,31,鳥取県,2019,5,2,3,***,578,"1,665","3,788","7,595","7,276","3,156"
27,業務用機械器具製造業,32,島根県,2019,3,2,***,1,924,"3,312","5,426","19,156","19,219","11,586"
27,業務用機械器具製造業,33,岡山県,2019,8,6,1,1,999,"3,467","12,710","23,833","22,079","9,850"
27,業務用機械器具製造業,34,広島県,2019,12,4,5,3,"2,633","13,655","38,075","79,201","72,162","37,998"
27,業務用機械器具製造業,35,山口県,2019,4,1,2,1,688,X,X,X,X,X
27,業務用機械器具製造業,36,徳島県,2019,***,***,***,***,***,***,***,***,***,***
27,業務用機械器具製造業,37,香川県,2019,2,1,1,***,243,X,X,X,X,X
27,業務用機械器具製造業,38,愛媛県,2019,3,3,***,***,147,X,X,X,X,X
27,業務用機械器具製造業,39,高知県,2019,6,5,1,***,483,"2,122","19,249","24,068","18,118","4,354"
27,業務用機械器具製造業,40,福岡県,2019,13,11,2,***,951,"4,143","22,414","31,239","26,043","8,031"
27,業務用機械器具製造業,41,佐賀県,2019,2,2,***,***,83,X,X,X,X,X
27,業務用機械器具製造業,42,長崎県,2019,4,2,1,1,550,"3,961","34,107","40,179","37,931","5,127"
27,業務用機械器具製造業,43,熊本県,2019,5,4,1,***,515,"1,993","5,839","9,747","5,534","3,895"
27,業務用機械器具製造業,44,大分県,2019,9,4,2,3,"2,963","15,719","58,653","89,435","88,235","27,033"
27,業務用機械器具製造業,45,宮崎県,2019,8,4,3,1,"1,415","4,995","12,186","26,306","26,770","12,590"
27,業務用機械器具製造業,46,鹿児島県,2019,5,4,1,***,330,"1,165","1,235","3,544","3,494","1,989"
27,業務用機械器具製造業,47,沖縄県,2019,1,1,***,***,38,X,X,X,X,X
27,業務用機械器具製造業,61,札幌市,2019,4,4,***,***,170,857,974,"2,459","1,888","1,371"
27,業務用機械器具製造業,62,仙台市,2019,2,2,***,***,110,X,X,X,X,X
27,業務用機械器具製造業,63,さいたま市,2019,16,11,4,1,"2,085","10,234","42,927","68,897","63,900","23,391"
27,業務用機械器具製造業,64,千葉市,2019,3,1,2,***,408,"1,646","9,423","20,157","17,224","9,556"
27,業務用機械器具製造業,65,東京特別区,2019,47,40,5,2,"4,037","22,094","71,535","124,504","111,263","52,083"
27,業務用機械器具製造業,66,横浜市,2019,18,12,5,1,"1,967","10,371","30,984","59,545","53,545","25,699"
27,業務用機械器具製造業,67,川崎市,2019,13,9,4,***,"1,195","7,485","14,031","29,080","26,281","13,444"
27,業務用機械器具製造業,68,相模原市,2019,10,7,2,1,"1,449","9,301","36,488","74,541","68,653","32,043"
27,業務用機械器具製造業,69,新潟市,2019,3,1,2,***,332,"1,120","1,526","3,438","3,353","1,688"
27,業務用機械器具製造業,70,静岡市,2019,2,1,1,***,183,X,X,X,X,X
27,業務用機械器具製造業,71,浜松市,2019,7,5,1,1,965,"4,911","14,867","22,732","21,618","5,402"
27,業務用機械器具製造業,72,名古屋市,2019,20,15,4,1,"2,096","11,548","119,440","216,281","213,261","84,852"
27,業務用機械器具製造業,73,京都市,2019,19,13,2,4,"5,917","37,998","114,710","231,785","204,194","108,926"
27,業務用機械器具製造業,74,大阪市,2019,14,10,4,***,"1,186","6,524","21,782","37,147","30,060","13,978"
27,業務用機械器具製造業,75,堺市,2019,1,1,***,***,66,X,X,X,X,X
27,業務用機械器具製造業,76,神戸市,2019,11,6,5,***,"1,084","6,724","22,014","48,602","47,678","24,348"
27,業務用機械器具製造業,77,岡山市,2019,5,5,***,***,298,"1,323","1,574","3,837","3,806","2,103"
27,業務用機械器具製造業,78,広島市,2019,1,1,***,***,53,X,X,X,X,X
27,業務用機械器具製造業,79,北九州市,2019,6,5,1,***,456,"2,121","11,248","15,552","15,492","3,998"
27,業務用機械器具製造業,80,福岡市,2019,***,***,***,***,***,***,***,***,***,***
27,業務用機械器具製造業,81,熊本市,2019,1,1,***,***,45,X,X,X,X,X
28,電子部品・デバイス・電子回路製造業,00,全国計,2015,"1,760",991,495,274,"347,782","1,818,752","8,472,568","14,254,700","13,594,795","4,972,357"
28,電子部品・デバイス・電子回路製造業,00,全国計,2016,"1,769",972,506,291,"365,295","1,847,743","7,854,624","14,025,147","12,912,044","4,994,859"
28,電子部品・デバイス・電子回路製造業,00,全国計,2017,"1,780",962,517,301,"376,970","1,965,782","8,925,808","15,452,128","14,380,509","5,634,724"
28,電子部品・デバイス・電子回路製造業,00,全国計,2018,"1,763",931,531,301,"385,089","2,052,041","8,968,084","15,658,709","14,657,233","5,846,565"
28,電子部品・デバイス・電子回路製造業,00,全国計,2019,"1,730",904,527,299,"381,976","2,021,532","7,742,659","13,674,378","13,144,668","4,872,206"
28,電子部品・デバイス・電子回路製造業,01,北海道,2019,24,7,10,7,"6,655","34,751","118,367","204,488","203,462","73,634"
28,電子部品・デバイス・電子回路製造業,02,青森県,2019,45,25,14,6,"6,407","21,631","183,675","249,207","248,193","57,522"
28,電子部品・デバイス・電子回路製造業,03,岩手県,2019,49,31,10,8,"7,853","34,100","113,087","191,517","191,264","56,973"
28,電子部品・デバイス・電子回路製造業,04,宮城県,2019,52,26,13,13,"13,116","59,793","169,567","437,021","419,981","244,293"
28,電子部品・デバイス・電子回路製造業,05,秋田県,2019,52,25,12,15,"12,113","54,190","208,964","370,333","367,228","150,224"
28,電子部品・デバイス・電子回路製造業,06,山形県,2019,49,22,12,15,"12,058","63,872","172,528","433,678","419,295","195,514"
28,電子部品・デバイス・電子回路製造業,07,福島県,2019,75,35,27,13,"12,539","56,220","308,612","474,188","451,165","122,054"
28,電子部品・デバイス・電子回路製造業,08,茨城県,2019,40,17,18,5,"11,681","79,398","234,254","405,044","372,749","149,518"
28,電子部品・デバイス・電子回路製造業,09,栃木県,2019,45,28,13,4,"5,629","29,753","122,635","206,170","194,997","81,518"
28,電子部品・デバイス・電子回路製造業,10,群馬県,2019,33,19,10,4,"6,344","34,244","117,199","197,271","182,062","75,137"
28,電子部品・デバイス・電子回路製造業,11,埼玉県,2019,62,42,13,7,"10,641","55,862","173,600","310,411","302,099","119,736"
28,電子部品・デバイス・電子回路製造業,12,千葉県,2019,25,13,8,4,"5,320","39,075","119,154","173,947","159,902","37,183"
28,電子部品・デバイス・電子回路製造業,13,東京都,2019,52,38,10,4,"7,372","42,763","179,490","295,257","287,162","91,569"
28,電子部品・デバイス・電子回路製造業,14,神奈川県,2019,93,63,21,9,"10,619","62,983","171,239","341,517","332,339","150,040"
28,電子部品・デバイス・電子回路製造業,15,新潟県,2019,85,53,19,13,"15,721","74,744","158,507","306,905","298,874","117,432"
28,電子部品・デバイス・電子回路製造業,16,富山県,2019,45,23,16,6,"9,729","49,951","142,034","300,994","299,758","135,541"
28,電子部品・デバイス・電子回路製造業,17,石川県,2019,30,10,11,9,"10,955","61,936","204,491","369,929","356,132","98,829"
28,電子部品・デバイス・電子回路製造業,18,福井県,2019,27,8,10,9,"9,636","50,339","180,326","336,011","322,205","119,163"
28,電子部品・デバイス・電子回路製造業,19,山梨県,2019,43,24,13,6,"6,729","38,400","136,760","212,703","212,289","61,253"
28,電子部品・デバイス・電子回路製造業,20,長野県,2019,150,79,50,21,"26,320","137,613","417,697","700,203","651,156","237,446"
28,電子部品・デバイス・電子回路製造業,21,岐阜県,2019,29,15,12,2,"5,112",X,X,X,X,X
28,電子部品・デバイス・電子回路製造業,22,静岡県,2019,63,37,14,12,"11,682","54,268","167,452","311,268","306,098","128,940"
28,電子部品・デバイス・電子回路製造業,23,愛知県,2019,44,24,15,5,"7,186","39,477","204,214","290,254","200,575","63,116"
28,電子部品・デバイス・電子回路製造業,24,三重県,2019,50,33,12,5,"18,567","124,445","1,117,343","1,476,728","1,475,591","324,846"
28,電子部品・デバイス・電子回路製造業,25,滋賀県,2019,48,21,15,12,"15,171","85,250","272,729","438,950","401,069","132,865"
28,電子部品・デバイス・電子回路製造業,26,京都府,2019,32,14,13,5,"8,397","48,405","149,373","384,911","381,130","216,356"
28,電子部品・デバイス・電子回路製造業,27,大阪府,2019,48,29,14,5,"6,569","32,311","307,280","366,149","369,251","57,709"
28,電子部品・デバイス・電子回路製造業,28,兵庫県,2019,48,22,18,8,"10,015","52,107","256,890","376,020","279,439","97,492"
28,電子部品・デバイス・電子回路製造業,29,奈良県,2019,4,4,***,***,170,505,806,"1,483","1,484",604
28,電子部品・デバイス・電子回路製造業,30,和歌山県,2019,4,***,3,1,862,"3,720","8,915","16,818","15,739","6,317"
28,電子部品・デバイス・電子回路製造業,31,鳥取県,2019,29,18,5,6,"4,551","23,053","107,712","145,107","114,612","33,130"
28,電子部品・デバイス・電子回路製造業,32,島根県,2019,16,7,7,2,"6,290","29,544","119,065","243,731","247,992","107,321"
28,電子部品・デバイス・電子回路製造業,33,岡山県,2019,25,9,10,6,"7,633","41,135","159,611","268,464","264,237","88,489"
28,電子部品・デバイス・電子回路製造業,34,広島県,2019,16,7,6,3,"5,928","35,879","122,444","333,347","345,397","141,529"
28,電子部品・デバイス・電子回路製造業,35,山口県,2019,12,6,4,2,"2,274",X,X,X,X,X
28,電子部品・デバイス・電子回路製造業,36,徳島県,2019,7,1,3,3,"8,909","51,454","212,926","437,912","429,347","161,974"
28,電子部品・デバイス・電子回路製造業,37,香川県,2019,8,5,1,2,"2,561","10,981","19,512","41,778","41,855","18,490"
28,電子部品・デバイス・電子回路製造業,38,愛媛県,2019,9,5,2,2,"2,177","9,969","15,135","35,814","34,556","18,995"
28,電子部品・デバイス・電子回路製造業,39,高知県,2019,6,4,2,***,537,"1,948","2,025","5,126","4,769","2,353"
28,電子部品・デバイス・電子回路製造業,40,福岡県,2019,27,8,13,6,"6,758","32,457","108,356","184,530","186,811","64,321"
28,電子部品・デバイス・電子回路製造業,41,佐賀県,2019,5,1,***,4,"3,826","23,043","105,485","200,584","201,038","74,788"
28,電子部品・デバイス・電子回路製造業,42,長崎県,2019,9,3,3,3,"4,675","27,466","44,107","299,299","293,169","191,708"
28,電子部品・デバイス・電子回路製造業,43,熊本県,2019,32,10,13,9,"11,215","62,703","151,256","340,398","347,189","147,208"
28,電子部品・デバイス・電子回路製造業,44,大分県,2019,22,8,9,5,"6,249","33,245","127,149","268,366","264,868","105,498"
28,電子部品・デバイス・電子回路製造業,45,宮崎県,2019,20,6,7,7,"5,113","21,335","87,093","173,680","171,438","75,746"
28,電子部品・デバイス・電子回路製造業,46,鹿児島県,2019,40,18,16,6,"12,047","58,095","123,810","289,965","290,200","141,052"
28,電子部品・デバイス・電子回路製造業,47,沖縄県,2019,1,1,***,***,65,X,X,X,X,X
28,電子部品・デバイス・電子回路製造業,61,札幌市,2019,***,***,***,***,***,***,***,***,***,***
28,電子部品・デバイス・電子回路製造業,62,仙台市,2019,5,3,1,1,"1,084","5,773","9,547","35,329","33,823","19,821"
28,電子部品・デバイス・電子回路製造業,63,さいたま市,2019,5,5,***,***,257,"1,203","1,599","3,819","3,278","1,961"
28,電子部品・デバイス・電子回路製造業,64,千葉市,2019,3,2,1,***,380,X,X,X,X,X
28,電子部品・デバイス・電子回路製造業,65,東京特別区,2019,10,9,1,***,534,"2,468","4,468","9,698","9,567","4,638"
28,電子部品・デバイス・電子回路製造業,66,横浜市,2019,26,18,5,3,"2,832","16,693","46,591","81,359","79,169","30,709"
28,電子部品・デバイス・電子回路製造業,67,川崎市,2019,16,11,4,1,"1,599","9,684","21,457","42,796","44,021","17,544"
28,電子部品・デバイス・電子回路製造業,68,相模原市,2019,15,10,5,***,"1,380","7,273","18,166","38,798","30,931","19,419"
28,電子部品・デバイス・電子回路製造業,69,新潟市,2019,10,8,2,***,729,"2,877","7,124","12,616","11,662","4,682"
28,電子部品・デバイス・電子回路製造業,70,静岡市,2019,6,3,2,1,"1,159","3,894","9,792","15,603","14,576","5,093"
28,電子部品・デバイス・電子回路製造業,71,浜松市,2019,21,11,6,4,"4,026","16,808","81,715","150,617","153,713","62,006"
28,電子部品・デバイス・電子回路製造業,72,名古屋市,2019,5,4,1,***,314,"1,115","3,439","5,612","5,638","1,872"
28,電子部品・デバイス・電子回路製造業,73,京都市,2019,9,5,2,2,"3,832","26,644","103,917","296,687","293,612","178,810"
28,電子部品・デバイス・電子回路製造業,74,大阪市,2019,15,11,3,1,"1,553","5,903","24,648","40,944","40,711","11,197"
28,電子部品・デバイス・電子回路製造業,75,堺市,2019,7,3,2,2,"2,139","12,033","105,312","117,456","139,154","20,246"
28,電子部品・デバイス・電子回路製造業,76,神戸市,2019,3,2,***,1,533,"2,459","4,183","8,712","8,706","4,144"
28,電子部品・デバイス・電子回路製造業,77,岡山市,2019,2,2,***,***,164,X,X,X,X,X
28,電子部品・デバイス・電子回路製造業,78,広島市,2019,1,***,1,***,136,X,X,X,X,X
28,電子部品・デバイス・電子回路製造業,79,北九州市,2019,2,***,2,***,283,X,X,X,X,X
28,電子部品・デバイス・電子回路製造業,80,福岡市,2019,3,***,2,1,"1,164","8,427","40,370","62,657","67,956","24,520"
28,電子部品・デバイス・電子回路製造業,81,熊本市,2019,2,1,***,1,947,X,X,X,X,X
29,電気機械器具製造業,00,全国計,2015,"2,669","1,812",586,271,"403,958","2,132,962","10,232,101","16,174,985","15,128,204","5,302,370"
29,電気機械器具製造業,00,全国計,2016,"2,598","1,715",611,272,"400,707","2,068,885","9,577,232","15,256,637","14,297,856","4,973,207"
29,電気機械器具製造業,00,全国計,2017,"2,640","1,718",642,280,"409,423","2,099,884","9,847,114","16,121,703","15,227,813","5,703,474"
29,電気機械器具製造業,00,全国計,2018,"2,665","1,715",664,286,"428,070","2,234,697","10,895,572","17,627,319","16,655,141","6,084,059"
29,電気機械器具製造業,00,全国計,2019,"2,651","1,713",648,290,"428,321","2,220,694","10,609,444","17,099,685","15,889,676","5,713,667"
29,電気機械器具製造業,01,北海道,2019,18,13,5,***,"1,500","6,107","21,811","33,484","32,310","10,371"
29,電気機械器具製造業,02,青森県,2019,20,10,8,2,"2,944","11,755","34,881","55,374","54,524","18,074"
29,電気機械器具製造業,03,岩手県,2019,27,18,8,1,"2,803","10,738","30,945","57,469","57,003","23,051"
29,電気機械器具製造業,04,宮城県,2019,37,20,14,3,"5,519","21,708","89,612","150,459","147,449","51,548"
29,電気機械器具製造業,05,秋田県,2019,20,14,6,***,"1,639","5,914","13,168","24,298","24,356","9,851"
29,電気機械器具製造業,06,山形県,2019,50,38,8,4,"5,100","20,012","90,982","144,844","144,928","49,383"
29,電気機械器具製造業,07,福島県,2019,61,40,16,5,"7,821","38,281","129,816","207,674","199,389","63,179"
29,電気機械器具製造業,08,茨城県,2019,101,55,35,11,"22,167","119,973","495,198","789,673","772,990","260,674"
29,電気機械器具製造業,09,栃木県,2019,57,37,11,9,"12,851","72,067","459,587","943,232","827,877","432,116"
29,電気機械器具製造業,10,群馬県,2019,77,50,16,11,"11,651","58,507","272,624","409,173","407,685","126,455"
29,電気機械器具製造業,11,埼玉県,2019,125,99,15,11,"14,227","70,111","249,779","414,280","387,096","145,632"
29,電気機械器具製造業,12,千葉県,2019,44,29,10,5,"5,655","29,824","97,013","157,125","153,210","56,008"
29,電気機械器具製造業,13,東京都,2019,116,89,17,10,"18,674","114,772","392,140","691,149","631,146","289,894"
29,電気機械器具製造業,14,神奈川県,2019,140,94,35,11,"20,027","115,091","429,905","673,309","592,608","201,849"
29,電気機械器具製造業,15,新潟県,2019,81,58,16,7,"8,816","38,205","195,409","297,193","282,237","89,183"
29,電気機械器具製造業,16,富山県,2019,21,14,6,1,"2,094","8,056","21,075","40,466","37,805","16,544"
29,電気機械器具製造業,17,石川県,2019,44,31,12,1,"4,358","19,990","52,377","100,348","92,551","42,724"
29,電気機械器具製造業,18,福井県,2019,21,12,7,2,"2,791","13,813","118,602","200,319","199,424","71,881"
29,電気機械器具製造業,19,山梨県,2019,27,16,10,1,"3,436","14,631","59,457","92,303","89,678","30,819"
29,電気機械器具製造業,20,長野県,2019,93,61,24,8,"11,788","57,461","205,135","338,264","272,284","116,183"
29,電気機械器具製造業,21,岐阜県,2019,79,48,26,5,"9,491","40,683","200,422","312,086","303,612","97,238"
29,電気機械器具製造業,22,静岡県,2019,184,113,42,29,"42,661","237,558","1,506,939","2,440,186","2,305,862","820,653"
29,電気機械器具製造業,23,愛知県,2019,193,116,50,27,"54,248","303,500","1,682,903","2,663,385","2,623,634","854,385"
29,電気機械器具製造業,24,三重県,2019,63,35,13,15,"16,348","81,629","463,496","674,626","626,430","193,586"
29,電気機械器具製造業,25,滋賀県,2019,87,51,24,12,"14,986","81,287","446,721","721,010","566,608","240,206"
29,電気機械器具製造業,26,京都府,2019,72,42,21,9,"11,778","64,507","207,243","337,882","324,191","117,542"
29,電気機械器具製造業,27,大阪府,2019,169,128,30,11,"19,157","104,565","533,539","914,702","654,018","335,020"
29,電気機械器具製造業,28,兵庫県,2019,168,96,45,27,"34,751","197,217","1,010,370","1,471,258","1,418,384","391,034"
29,電気機械器具製造業,29,奈良県,2019,8,5,2,1,849,"4,025","32,220","38,721","37,508","9,607"
29,電気機械器具製造業,30,和歌山県,2019,13,11,2,***,920,"3,639","7,994","14,342","14,151","5,382"
29,電気機械器具製造業,31,鳥取県,2019,30,22,6,2,"2,991","10,743","57,391","80,628","76,750","20,845"
29,電気機械器具製造業,32,島根県,2019,14,11,2,1,"1,486","4,708","23,890","36,181","34,675","10,603"
29,電気機械器具製造業,33,岡山県,2019,41,29,9,3,"4,286","17,800","147,948","195,027","185,180","40,328"
29,電気機械器具製造業,34,広島県,2019,46,28,11,7,"7,111","31,625","131,399","223,266","212,277","80,072"
29,電気機械器具製造業,35,山口県,2019,18,15,2,1,"1,535","4,999","15,077","24,295","19,681","8,057"
29,電気機械器具製造業,36,徳島県,2019,15,10,4,1,"1,820","7,582","37,657","47,594","38,675","7,069"
29,電気機械器具製造業,37,香川県,2019,36,18,13,5,"5,498","27,522","116,285","171,424","167,657","50,639"
29,電気機械器具製造業,38,愛媛県,2019,20,12,5,3,"3,116","16,682","41,110","100,193","96,811","54,613"
29,電気機械器具製造業,39,高知県,2019,7,5,2,***,503,"1,818","5,349","8,579","8,225","2,765"
29,電気機械器具製造業,40,福岡県,2019,78,47,17,14,"11,322","53,403","181,999","279,880","253,093","75,796"
29,電気機械器具製造業,41,佐賀県,2019,31,14,14,3,"4,667","22,244","113,250","181,710","179,922","55,428"
29,電気機械器具製造業,42,長崎県,2019,18,9,8,1,"2,052","8,545","23,524","40,780","38,597","14,286"
29,電気機械器具製造業,43,熊本県,2019,26,12,9,5,"4,225","18,905","78,215","135,885","136,292","52,958"
29,電気機械器具製造業,44,大分県,2019,18,12,4,2,"2,028","8,528","22,396","34,240","33,336","10,860"
29,電気機械器具製造業,45,宮崎県,2019,15,9,4,2,"2,129","7,599","26,401","42,612","41,175","11,800"
29,電気機械器具製造業,46,鹿児島県,2019,18,13,4,1,"2,284","11,397","34,351","85,264","83,972","45,923"
29,電気機械器具製造業,47,沖縄県,2019,4,4,***,***,218,968,"1,839","3,493","2,411","1,555"
29,電気機械器具製造業,61,札幌市,2019,6,5,1,***,448,"1,946","4,567","8,088","7,075","3,204"
29,電気機械器具製造業,62,仙台市,2019,9,7,1,1,915,"3,991","10,546","18,359","18,147","7,087"
29,電気機械器具製造業,63,さいたま市,2019,6,5,***,1,700,"4,938","10,062","18,522","17,776","6,865"
29,電気機械器具製造業,64,千葉市,2019,3,2,1,***,225,"1,096","1,802","4,453","3,326","2,597"
29,電気機械器具製造業,65,東京特別区,2019,45,41,4,***,"2,477","12,913","29,509","54,695","51,199","22,566"
29,電気機械器具製造業,66,横浜市,2019,40,27,11,2,"4,237","23,431","52,279","97,804","94,004","41,291"
29,電気機械器具製造業,67,川崎市,2019,18,11,5,2,"2,695","17,728","42,756","79,826","74,539","29,190"
29,電気機械器具製造業,68,相模原市,2019,25,20,3,2,"2,754","15,363","79,276","123,589","122,512","39,247"
29,電気機械器具製造業,69,新潟市,2019,12,10,2,***,733,"3,211","13,254","24,831","24,560","10,357"
29,電気機械器具製造業,70,静岡市,2019,30,20,7,3,"9,017","53,020","454,564","906,612","906,803","409,686"
29,電気機械器具製造業,71,浜松市,2019,32,22,6,4,"3,728","19,478","71,048","115,034","105,447","38,852"
29,電気機械器具製造業,72,名古屋市,2019,30,22,4,4,"9,156","52,620","236,493","428,326","405,973","151,586"
29,電気機械器具製造業,73,京都市,2019,35,23,7,5,"6,560","38,824","124,391","199,650","188,251","67,449"
29,電気機械器具製造業,74,大阪市,2019,52,42,7,3,"5,368","30,055","158,610","227,859","174,721","54,249"
29,電気機械器具製造業,75,堺市,2019,15,10,4,1,"1,397","5,987","22,781","37,463","37,040","13,965"
29,電気機械器具製造業,76,神戸市,2019,20,11,4,5,"4,803","38,355","150,843","314,890","304,054","156,051"
29,電気機械器具製造業,77,岡山市,2019,11,9,2,***,873,"3,986","7,877","16,540","13,643","7,515"
29,電気機械器具製造業,78,広島市,2019,13,7,4,2,"1,875","8,231","28,613","47,575","38,983","17,088"
29,電気機械器具製造業,79,北九州市,2019,13,8,3,2,"1,755","8,705","21,423","37,701","37,399","14,178"
29,電気機械器具製造業,80,福岡市,2019,6,3,2,1,986,"5,399","14,565","24,237","13,731","8,836"
29,電気機械器具製造業,81,熊本市,2019,3,1,1,1,627,"2,101","11,619","13,022","12,772","1,680"
30,情報通信機械器具製造業,00,全国計,2015,594,328,163,103,"124,450","745,331","5,866,196","8,459,857","6,439,376","2,307,828"
30,情報通信機械器具製造業,00,全国計,2016,554,308,145,101,"118,013","659,928","4,616,363","6,618,528","5,353,868","1,812,978"
30,情報通信機械器具製造業,00,全国計,2017,540,288,155,97,"118,335","675,692","4,692,130","6,566,999","5,343,404","1,769,950"
30,情報通信機械器具製造業,00,全国計,2018,528,286,148,94,"116,323","661,959","4,670,781","6,744,516","5,539,847","1,942,835"
30,情報通信機械器具製造業,00,全国計,2019,526,293,143,90,"112,849","654,965","4,565,428","6,557,377","5,496,262","1,836,424"
30,情報通信機械器具製造業,01,北海道,2019,6,4,2,***,480,"2,110","6,433","11,490","9,560","5,078"
30,情報通信機械器具製造業,02,青森県,2019,6,4,2,***,618,X,X,X,X,X
30,情報通信機械器具製造業,03,岩手県,2019,15,10,5,***,"1,486","5,465","14,466","26,293","31,391","16,010"
30,情報通信機械器具製造業,04,宮城県,2019,19,8,6,5,"3,645","17,433","91,786","145,283","141,710","46,964"
30,情報通信機械器具製造業,05,秋田県,2019,4,3,***,1,468,"2,163","4,019","8,425","8,473","3,960"
30,情報通信機械器具製造業,06,山形県,2019,20,12,6,2,"3,332","17,578","238,106","311,439","313,630","68,902"
30,情報通信機械器具製造業,07,福島県,2019,43,23,13,7,"10,021","54,105","418,078","517,766","359,180","107,764"
30,情報通信機械器具製造業,08,茨城県,2019,13,10,1,2,"1,859","9,061","32,702","51,915","48,175","17,202"
30,情報通信機械器具製造業,09,栃木県,2019,20,13,4,3,"3,413","18,484","119,489","165,952","163,690","41,861"
30,情報通信機械器具製造業,10,群馬県,2019,13,5,6,2,"2,267","8,900","63,143","86,914","86,395","20,725"
30,情報通信機械器具製造業,11,埼玉県,2019,37,26,6,5,"7,213","43,420","232,815","364,791","361,571","120,596"
30,情報通信機械器具製造業,12,千葉県,2019,8,4,3,1,"1,833","13,683","120,266","143,473","76,628","22,052"
30,情報通信機械器具製造業,13,東京都,2019,33,20,10,3,"6,982","49,974","254,709","457,125","385,325","169,974"
30,情報通信機械器具製造業,14,神奈川県,2019,56,29,15,12,"12,624","92,619","452,530","687,205","681,682","223,539"
30,情報通信機械器具製造業,15,新潟県,2019,13,9,3,1,"1,304","6,272","48,265","69,611","64,179","17,332"
30,情報通信機械器具製造業,16,富山県,2019,5,4,1,***,371,X,X,X,X,X
30,情報通信機械器具製造業,17,石川県,2019,10,4,3,3,"2,882","14,352","153,535","186,084","176,441","38,407"
30,情報通信機械器具製造業,18,福井県,2019,2,1,1,***,279,X,X,X,X,X
30,情報通信機械器具製造業,19,山梨県,2019,14,11,***,3,"1,988","12,053","88,030","127,704","127,554","36,611"
30,情報通信機械器具製造業,20,長野県,2019,38,21,8,9,"13,860","83,390","713,812","1,075,364","567,856","328,206"
30,情報通信機械器具製造業,21,岐阜県,2019,6,3,2,1,"1,188",X,X,X,X,X
30,情報通信機械器具製造業,22,静岡県,2019,14,7,3,4,"3,642","24,921","196,955","272,452","231,167","66,217"
30,情報通信機械器具製造業,23,愛知県,2019,21,9,9,3,"4,715","28,396","139,121","199,508","147,842","53,987"
30,情報通信機械器具製造業,24,三重県,2019,6,2,2,2,"1,576",X,X,X,X,X
30,情報通信機械器具製造業,25,滋賀県,2019,4,1,2,1,"1,487",X,X,X,X,X
30,情報通信機械器具製造業,26,京都府,2019,5,2,1,2,"1,651","12,022","57,102","90,050","53,958","30,283"
30,情報通信機械器具製造業,27,大阪府,2019,12,7,2,3,"3,071","20,862","128,863","220,955","214,109","88,480"
30,情報通信機械器具製造業,28,兵庫県,2019,26,11,9,6,"6,385","37,837","308,218","447,723","388,266","129,029"
30,情報通信機械器具製造業,29,奈良県,2019,1,***,1,***,123,X,X,X,X,X
30,情報通信機械器具製造業,30,和歌山県,2019,2,1,1,***,270,X,X,X,X,X
30,情報通信機械器具製造業,31,鳥取県,2019,3,1,1,1,534,"2,381","18,164","24,826","24,460","5,573"
30,情報通信機械器具製造業,32,島根県,2019,6,3,2,1,"1,167",X,X,X,X,X
30,情報通信機械器具製造業,33,岡山県,2019,6,4,1,1,789,"4,156","10,192","21,450","20,959","10,964"
30,情報通信機械器具製造業,34,広島県,2019,6,4,1,1,731,X,X,X,X,X
30,情報通信機械器具製造業,35,山口県,2019,1,1,***,***,70,X,X,X,X,X
30,情報通信機械器具製造業,36,徳島県,2019,1,1,***,***,61,X,X,X,X,X
30,情報通信機械器具製造業,37,香川県,2019,***,***,***,***,***,***,***,***,***,***
30,情報通信機械器具製造業,38,愛媛県,2019,***,***,***,***,***,***,***,***,***,***
30,情報通信機械器具製造業,39,高知県,2019,***,***,***,***,***,***,***,***,***,***
30,情報通信機械器具製造業,40,福岡県,2019,6,3,3,***,628,"2,667","6,597","12,895","12,901","5,866"
30,情報通信機械器具製造業,41,佐賀県,2019,3,2,1,***,344,X,X,X,X,X
